id,session_key,date,lap_number,category,flag,scope,message,driver_number
496,9094,2023-05-28T14:14:45+00:00,55,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,
497,9094,2023-05-28T14:14:52+00:00,55,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,
498,9094,2023-05-28T14:14:53+00:00,55,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,
499,9094,2023-05-28T14:15:02+00:00,55,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 7,
500,9094,2023-05-28T14:15:10+00:00,55,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:15:10,77
501,9094,2023-05-28T14:15:12+00:00,55,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:15:11,2
502,9094,2023-05-28T14:15:29+00:00,55,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,
503,9094,2023-05-28T14:15:35+00:00,55,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 8,
504,9094,2023-05-28T14:15:44+00:00,56,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 9,
505,9094,2023-05-28T14:15:48+00:00,56,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 9,
506,9094,2023-05-28T14:16:00+00:00,56,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 9,
507,9094,2023-05-28T14:16:19+00:00,56,Other,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 1,
508,9094,2023-05-28T14:16:28+00:00,56,Other,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 19,
509,9094,2023-05-28T14:16:41+00:00,56,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:16:40,20
510,9094,2023-05-28T14:16:47+00:00,56,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,
511,9094,2023-05-28T14:16:51+00:00,56,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 8,
512,9094,2023-05-28T14:16:53+00:00,56,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 8,
513,9094,2023-05-28T14:16:55+00:00,56,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,
514,9094,2023-05-28T14:17:06+00:00,56,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 19,
515,9094,2023-05-28T14:17:11+00:00,56,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:17:11,20
516,9094,2023-05-28T14:17:25+00:00,56,Other,,,CAR 27 (HUL) TIME 1:40.881 DELETED - TRACK LIMITS AT TURN 10 LAP 53 16:13:36,
517,9094,2023-05-28T14:17:27+00:00,56,Other,,,CAR 10 (GAS) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 54 16:13:49 (PIT),
518,9094,2023-05-28T14:18:00+00:00,57,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:18:00,23
519,9094,2023-05-28T14:18:05+00:00,57,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:18:05,20
520,9094,2023-05-28T14:18:13+00:00,57,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:18:12,23
521,9094,2023-05-28T14:18:26+00:00,57,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:18:25,20
522,9094,2023-05-28T14:18:40+00:00,57,Other,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2,
523,9094,2023-05-28T14:18:40+00:00,57,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:18:40,20
524,9094,2023-05-28T14:18:51+00:00,57,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:18:50,23
525,9094,2023-05-28T14:19:10+00:00,57,Other,,,CAR 14 (ALO) TIME 2:06.635 DELETED - TRACK LIMITS AT TURN 10 LAP 55 16:15:04,
526,9094,2023-05-28T14:19:13+00:00,58,Other,,,CAR 20 (MAG) TIME 2:07.055 DELETED - TRACK LIMITS AT TURN 11 LAP 55 16:17:18,
527,9094,2023-05-28T14:19:26+00:00,58,Other,,,TURN 5 INCIDENT INVOLVING CARS 63 (RUS) AND 11 (PER) NOTED - UNSAFE REJOIN,
528,9094,2023-05-28T14:19:58+00:00,58,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - TRACK LIMITS,20
529,9094,2023-05-28T14:20:04+00:00,58,Other,,,CAR 14 (ALO) TIME 1:42.581 DELETED - TRACK LIMITS AT TURN 16 LAP 57 16:19:14,
530,9094,2023-05-28T14:20:09+00:00,58,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 21 (DEV) TIMED AT 16:20:08,21
531,9094,2023-05-28T14:20:09+00:00,58,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 17,
532,9094,2023-05-28T14:20:25+00:00,58,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,
533,9094,2023-05-28T14:21:00+00:00,59,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 14 (ALO) - TRACK LIMITS,14
534,9094,2023-05-28T14:21:10+00:00,59,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 8,
535,9094,2023-05-28T14:21:11+00:00,59,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,
536,9094,2023-05-28T14:21:14+00:00,59,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:21:14,24
537,9094,2023-05-28T14:21:15+00:00,59,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,
538,9094,2023-05-28T14:21:23+00:00,59,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,
539,9094,2023-05-28T14:21:35+00:00,59,Other,,, INCIDENT INVOLVING CAR 2 (SAR) NOTED - SPEEDING IN THE PIT LANE,
