id,race_id,driver_id,constructor_id,number,position,points,grid,laps,status,qualifying_position
7455,2020_9,raikkonen,alfa,7,9,2.0,13,59,Finished,13
7456,2020_9,vettel,ferrari,5,10,1.0,14,59,Finished,14
7457,2020_9,russell,williams,63,11,0.0,18,59,Finished,18
7458,2020_9,grosjean,haas,8,12,0.0,15,59,Finished,15
7459,2020_9,stroll,racing_point,18,13,0.0,6,42,Puncture,7
7460,2020_9,ocon,renault,31,14,0.0,10,7,Brakes,10
7461,2020_9,latifi,williams,6,15,0.0,19,6,Collision,19
7462,2020_9,kevin_magnussen,haas,20,16,0.0,20,5,Collision,20
7463,2020_9,giovinazzi,alfa,99,17,0.0,17,5,Collision,17
7464,2020_9,sainz,mclaren,55,18,0.0,9,5,Collision,9
7465,2020_9,max_verstappen,red_bull,33,19,0.0,3,0,Collision,3
7466,2020_9,gasly,alphatauri,10,20,0.0,16,0,Collision,16
7467,2020_10,bottas,mercedes,77,1,26.0,3,53,Finished,3
7468,2020_10,max_verstappen,red_bull,33,2,18.0,2,53,Finished,2
7469,2020_10,hamilton,mercedes,44,3,15.0,1,53,Finished,1
7470,2020_10,perez,racing_point,11,4,12.0,4,53,Finished,4
7471,2020_10,ricciardo,renault,3,5,10.0,5,53,Finished,5
7472,2020_10,leclerc,ferrari,16,6,8.0,10,53,Finished,11
7473,2020_10,ocon,renault,31,7,6.0,7,53,Finished,7
7474,2020_10,kvyat,alphatauri,26,8,4.0,11,53,Finished,12
7475,2020_10,gasly,alphatauri,10,9,2.0,9,53,Finished,9
7476,2020_10,albon,red_bull,23,10,1.0,15,53,Finished,10
7477,2020_10,giovinazzi,alfa,99,11,0.0,17,52,+1 Lap,17
7478,2020_10,kevin_magnussen,haas,20,12,0.0,18,52,+1 Lap,18
7479,2020_10,vettel,ferrari,5,13,0.0,14,52,+1 Lap,15
7480,2020_10,raikkonen,alfa,7,14,0.0,19,52,+1 Lap,20
7481,2020_10,norris,mclaren,4,15,0.0,8,52,+1 Lap,8
7482,2020_10,latifi,williams,6,16,0.0,20,52,+1 Lap,19
7483,2020_10,grosjean,haas,8,17,0.0,16,52,+1 Lap,16
7484,2020_10,russell,williams,63,18,0.0,13,52,+1 Lap,14
7485,2020_10,sainz,mclaren,55,19,0.0,6,0,Accident,6
7486,2020_10,stroll,racing_point,18,20,0.0,12,0,Collision,13
7487,2020_11,hamilton,mercedes,44,1,25.0,2,60,Finished,2
7488,2020_11,max_verstappen,red_bull,33,2,19.0,3,60,Finished,3
7489,2020_11,ricciardo,renault,3,3,15.0,6,60,Finished,6
7490,2020_11,perez,racing_point,11,4,12.0,9,60,Finished,9
7491,2020_11,sainz,mclaren,55,5,10.0,10,60,Finished,10
7492,2020_11,gasly,alphatauri,10,6,8.0,12,60,Finished,12
7493,2020_11,leclerc,ferrari,16,7,6.0,4,60,Finished,4
7494,2020_11,hulkenberg,racing_point,27,8,4.0,20,60,Finished,20
7495,2020_11,grosjean,haas,8,9,2.0,16,60,Finished,16
7496,2020_11,giovinazzi,alfa,99,10,1.0,14,60,Finished,14
7497,2020_11,vettel,ferrari,5,11,0.0,11,60,Finished,11
7498,2020_11,raikkonen,alfa,7,12,0.0,19,60,Finished,19
7499,2020_11,kevin_magnussen,haas,20,13,0.0,15,60,Finished,15
7500,2020_11,latifi,williams,6,14,0.0,18,60,Finished,18
7501,2020_11,kvyat,alphatauri,26,15,0.0,13,60,Finished,13
7502,2020_11,norris,mclaren,4,16,0.0,8,42,Power Unit,8
7503,2020_11,albon,red_bull,23,17,0.0,5,23,Radiator,5
